,id,category,data
65926,65926,烦恼-恋爱,大家帮我想想办法我该怎么办心好累我与男友交往不到半年总不是你有没有他都无所谓世界上谁没有了谁都一样活不喜欢他就早点分手吧时间越长对他的伤害越大
65930,65930,烦恼-恋爱,帮帮我呀如果有个人非常非常的喜欢你但是你去不喜欢他只是想跟他做那你地婉转地跟他说他不是你所喜欢的那个类型的男生你们只能做好朋友看他有什么瓜罗
65936,65936,烦恼-校园生活,求校园自律标语关于校园自律的标语字以内做人自尊行为自律学习自觉生活自理
65946,65946,烦恼-交友技巧,什么叫吃醋具体说是男人与男人因为女人或女人与女人因为男人心里产生一种酸溜溜的感觉谓之吃醋哈哈你可别与其他女人因为某个男人吃醋哦
65948,65948,烦恼-恋爱,是否一句就够了两个人在一起只要相爱就足够了其实我们每一个人都知道那些海誓山盟天长地久也只不过是说说而已两个人如果真心相爱那么是不可以用时间的长短来衡量的爱一个人就要懂得付出歌词毕竟是歌词你终究是要回到现实中来的不是吗如果你真的爱一个人就不要去想其他的事情只要单纯的去爱就足够了
65975,65975,烦恼-恋爱,与我相恋年的男友没有征兆的突然表现得很花心为什么请大家帮你们已经走到第五年了现在是第一个痒的年头好好把握会过去的
65998,65998,烦恼-夫妻,我对他一点都不了解但我知道他是一个负责的人他曾用人格保证他是任何一个男人在这时都会对你这样说的关键是你自己有没有主见
66011,66011,烦恼-恋爱,大家帮帮忙前几天我有一好友对我说自己女朋友为了不伤害以前的一个君子坦荡荡要面子的结果还是自己受罪
66013,66013,烦恼-恋爱,男孩和女孩走到一起不能够永远吗难道只有爱情没有了友情吗你现在所做的一切没什么任何一点错可以打分的话可以一百分啦呵呵但接下来你再这样下去就要得零分啦你为什么要等呀你不会主动呀你可是个男孩呀啊笨再这样没有勇气瞧不起你
66023,66023,烦恼-夫妻,请教一下到民政局办理离婚手续本人自己一定要去吗当然这是一定要当事人本人去的
66025,66025,烦恼-交友技巧,我是不是爱上了女友的朋友我何去何从她来我这几个月了当时来的时我觉得你还没有爱上你的女友的朋友至少现在还没有现在你和你女友在感情冰冻期她的朋友在这种特别的时期给了你这种自然的感觉我觉得这其中你由于女友付了你可能在伤心之余对她的朋友产生了移情以后究竟怎么发展我觉得主要是应先解决你和你女友之间的问题再考虑其他不然对另一位女孩子对你的女友都是不公平的呵呵加油哦不管你和谁一起都希望你们幸福
66042,66042,烦恼-恋爱,男友是双鱼座的他变心前会有什么征兆这段时间我们很少联络他有我是双鱼座的男人我有绝对有发言权其实双鱼座的男人是非常感性专一的如果出现分手变心他也总是想把双方伤痛减到最低
66058,66058,烦恼-恋爱,在爱情的道路上我是一个失败者有时候觉得谈恋爱会花钱浪费精力我从你的言语中你是男生的可能居多一个人如果对谈恋都退避三舍的话至少说明一点心里有问题钱在当今的确无所不能但也钱财买不到的事情比哪亲情友情或许你不想浪费时间有自己绝对的理由想以相亲的方式来确定婚姻尽旧结束时间的累赘只要坚信自信我相信你一定能办到自己想办的事
66066,66066,烦恼-恋爱,是否是分手的前兆大家帮我分析一下十分感谢昨天晚上她下班回家其实这不会是分手的前兆而是她故意试探你反应的小动作可能还有她的担心只要你不会因此而不理她那么就会天下太平一切如旧的
66089,66089,烦恼-恋爱,表白失败后该怎么办我跟一个女孩子同事快年了我一直喜欢她她也知看得出你不是她想要的对象但这并不是不可能了只要她还没有结婚你都有追求的权力你可以一如既往的对她好但别再热烈的追求冷处理一段时间然后再以一普通朋友的身份跟她交往切忌别给她压力懂得距离产生美的道理祝你心想事成
66090,66090,烦恼-恋爱,热恋期是多久之后会怎样最多个月然后救开始平淡然后救可能出现经常性的争吵
66091,66091,烦恼-夫妻,突然对婚姻很失望公婆霸道住在一起年我已经一身是病丈夫四处留情结结婚前你在干什么不合适你还要结婚生子干什么八年了是啊八年抗战都结束了楼主你还要继续抗战下去孩子也有了能忍则忍吧虽然过得很痛苦对婚姻很失望但是日子还得过下去啊只能希望你老公今后能良心发现不甘心如果实在忍不了那就离婚吧不过我劝你做出这个决定前一定要慎重考虑下到底是维持现在这段为了孩子的婚姻还是选择自己幸福的下半辈子
66110,66110,烦恼-夫妻,我是不是有自虐倾向家里人介绍了个男孩给我我对他不是很有感觉你对他没感觉还在交往应该是外界压力吧你和他相亲认识并不十分了解他的表现一定是他的习惯或者你不习惯而出现的误解可以再花些时间只有当一些关键事情出现时才能评判一个人真心
66134,66134,烦恼-两性问题,有没有谁知道有效的事后紧急避孕法急偶昨天和在的时候没有只有吃药毓婷如果你不想如此害怕就不要贪婪快乐不带套或者你可以选择体外射精我用此法一年了也没出过事
66141,66141,烦恼-两性问题,第一次我们做爱后第二天精液从阴道流出这正常吗能怀孕吗这当然是正常的有的时候都不会呆到第二天呢作完一会就会流出来的要是你没有什么避孕措施的话而且又是不在安全期的话怀孕是很有可能的如果你不想怀孕的话那还是做好措施吧
66150,66150,烦恼-两性问题,我的精液射出来是透明的只有很少一部分是乳白的怎么回事以前兄弟不是吧人体自然流出的精液就是呈通明状的啊你看乳白色是因为经过摩擦而混入空气而产生大量的气泡过渡的手淫确实不好但是保持一周发泄一次还是对你的身体有一定的好处的如果你不相信的话你把你通明的精液放在手心上用另个手指去搓用不了多一会就会变成乳白色
66151,66151,烦恼-恋爱,我的感情好迷茫请大家帮忙我和我现在男朋友已经快耍一年了我们的继续了解是关键无论你在恋着的男友还是将要去认识的已离婚男人最后才能做出选择
66156,66156,烦恼-恋爱,恋爱的前提条件是什么如果要是选择的另一半是应该看他的外表还看自己的感觉了如果没有她我会不快乐我会牵肠挂肚我会神不守舍我一定会合他在一起如果真爱一个人那么她在你眼中一定是有一定的地位的一定也是美丽的情人眼里出西施就是这个道理
66180,66180,烦恼-校园生活,一个中学时代很常见的问题我是一个初二的学生班里学习不错与同学让他们去说呗不要理睬旁人的目光中学生就是爱乱起哄他们觉得好玩嘛但是不要与她太亲近搞不好被眼睛厉害的老师看到还会误会你们在交往惹来一堆麻烦事恐怖这是我建议你的观点你对她有好感甚至是喜欢上了她又不是你的错错就错在她太优秀吸引了你保持好与她原有的关系多与她谈谈心把自己对班上同学起哄一事说出自己的想法而且要努力争得她的认同否则的话她也许会因为禁不起太多的谣言而与你绝交哦
66232,66232,烦恼-交友技巧,我男朋友会变心吗我男朋友是那种很会哄女孩子的男孩但最近一段时理智处理你们的关系好好跟他谈谈把话说开爱不是勉强的无爱的婚姻很郁闷不如早断否则让他说清楚是否还爱你如果还爱你请你也不要疑神疑鬼好好生活怀疑猜忌只会让你走上一条不好的路
66240,66240,烦恼-恋爱,我女朋友老爱夸别人是故意气我的吗我女朋友老是说别人如何帅如一你较自负也许你不爱听但是是事实所以让你女朋友没有安全感其实是她在你面前显的很自卑二她太在乎你因为爱你所以怕失去你那么就想办法挽留你不管方法是否正确但是我知道她是爱你的当然以你的性格不一定能接受她另类的表白我也知道你是在乎她的所以我建议你是不是可以改一下自己的性格不要太表现自己要让她感觉你的爱是真实存在的让她放心让自己安心开心本来很简单的问题何必复杂化呢能在一起就是缘分相煎又如何快乐就好
66262,66262,烦恼-恋爱,七夕大家都怎么过有情人的和没情人的都来回答哦我没有情人打算下班后自己逛逛街然后到喜欢的餐厅吃一顿如果时间还早就散散步最后回家写日记呵呵
66334,66334,烦恼-恋爱,女朋友对我说感觉变了是什么意思我和我女朋友好了年了但是我不呵呵两年的感情啊多不容易呢其实真的很佩服你们的坚持两个人由相识慢慢走向相知相恋期间两个人对待对方的方式都在发生着变化一开始即使她为你做任何一点小事你都觉得很感动但是做多了慢慢的便会觉得其实没有那么让你动容这倒不是说谁变心了而是我们已经习惯了享受别人对自己的好习惯了对方对我们的嘘寒问暖爱情是一杯水每吵一次架水就会倒掉一些但是聪明的人懂得在吵架过后或者在平时非纪念性的日子为这杯水加点糖那么我希望的是你也可以尝试着去关心她并非只有在她生日的时候才可以送玫瑰或者礼物她在乎的不是价格而是你的心意偶尔写封信偶尔别出心裁地带她去一个漂亮而陌生的风景点完全可以啊也会让她很感动得呢希望你们幸福
66377,66377,烦恼-校园生活,我喜欢一个网上女孩他是陕西的我该怎么为我在上中专时在网上先从笔友做起以后的路要看你自己了
66378,66378,烦恼-家庭关系,请教由于老公的不忠我很难过但必须面对如何才能忘记一段七年问世间情为何物它只是痛苦的源泉而己放弃吧前途光明
66392,66392,烦恼-恋爱,我该怎么追这个女生呢在公司里我喜欢上了一个女生她很活泼我觉得哈哈本人也是一个比较内敛的男生教你一点我的心得吧呵呵以前我都不敢去高攀那些女的也认为担心自己会一发不可收拾总觉得有种莫名的失落感可后来我总试着把自己胆量放大点所谓男人不坏女人不爱嘛内敛的男人就要多学习那些花花公子泡妞的本事学他的技巧就可以了可别学花了哈哈还要有缠的工夫多约她单独和你在一起吃饭或逛街如果一次失败就接第二次直到打动她就算你成功了毕竟人不是铁做的女人的虚荣心很强的
66408,66408,烦恼-恋爱,怎么和女孩子聊天啊姨介绍一个女孩子给我认识打了几次电话给她如果你真的不知道说什么话建议可以学习去提问提问可以让你去了解她认真去听她说也是一种培养感情的方法然后就是多找机会去接触对方一起约会吃个饭散步逛街这些都能成为你们两个的独特会议随着你们对彼此的了解深入了话题就多了相处也就自然了
66474,66474,烦恼-校园生活,怎样才能上课不睡觉呢老是控制不住睡觉耽误好多课程我真的上课睡觉的原因很多有可能是休息不够你需要科学的睡眠其实这也不难做到学校的休息规定已经是够科学的了甚至在中午觉时还可以减少些中午需要睡一下但不是多长时间一般来说半个小时就足够了也不能一点都不睡要不你上课又得睡觉了长期坚持下去你会发现真的很容易适应习惯成自然了不过还可能是你对课程不感兴趣的原因也许你需要的也是学习方法吧集中注意力去听多用点心去思考要不就是对这位老师再多些兴趣也许对你会有些改变努力吧
66491,66491,烦恼-两性问题,女生每月来月经之前的天是安全期吗同上来月经的那天向前推天是排卵期排卵期的前天不包括排卵期和后天是怀孕期危险期一个月经周期除了这天其他都是安全期
66526,66526,烦恼-两性问题,女人也会射吗像男人一样的射据说几乎是很少会发生的吧我想问一近年来人们对于点与女性射精一类的文章已并不陌生但人们始终怀疑女人真能象男性一样射精吗女性射精与性高潮有何关系呢要想回答这些问题我们还是从点说起年拉德斯惠普尔和佩里三人合著的点及人类性行为的其他新发现一书给性学界医学界以及整个社会带来了巨大的影响点首次为人们所知晓他们研究名自愿受试者无一例外地发现点的存在那么什么是点呢原来早在年德国医生格拉芬勃格发现两种现象一是女性靠近尿道一侧的阴道前壁的前端有一个动情区性兴奋时该区域增大并向阴道内突出在达到性高潮时又恢复正常大小二是在性高潮时女性尿道可喷射出大量清亮的透明液体这一现象至少在部分女性中可以见到格氏的这一发现当时并没有引起人们的重视年后由上述三位作者著书使世人了解格拉芬勃格当年的研究工作三位作者用格拉芬勃格名字的第一个字母来命名女性阴道内的这一性敏感区域称为点其实早在年一位荷兰解剖学家格拉夫也介绍过女性前列腺并指出它的功能是产生使女性性欲增强的粘液性分泌物这种刺激女性点所产生的快感与刺激男性前列腺所引起的快感是一致的现代的解剖学影像学化学检验及生理学都证实女性点的存在并说明点受到刺激后所分泌的液体就是前列腺液刺激这一部位时有尿意马上又转为快感对许多从未探索这一领域的女性而言是这一种全新的快感体验虽然说女性大多数都有点存在但能有射精能力者只占这与女性耻骨尾骨肌强弱有密切关系有些女性在性高潮时有少量流尿现象其实就是女性射精对于女性射精我国古代书籍早有记载古代称为女性丢精或阴精一些荒淫无知之徒甚至用酒杯来接取女性的精液认为可以延年益寿长生不老我国近代性学先驱张竟生先生曾发表第三种水一书他说女子在性交时能射出第三种水第一种为尿液第二种为性兴奋阴道分泌物如同男性射精一样有些女子可射二尺多远但一般要在性交达分钟之后而且性交体位要不断变化又须女子主动男性对女性身体各处要不断吮捻拨弄等才能达到年代张竟生先生能对女性射精做出如此详细的描述实属难能可贵但旧中国必竟缺少产生性学家的土壤一代性学大师很早便夭折了有关点与女性射精的研究还在不断进行尤其中女性射精的真正机理以及与性高潮的关系还有待进一步研究证明但目前的研究结果已足以提示女性可以通过变化性交体位或用手来刺激点达到阴道型性高潮而增加耻骨尾骨肌收缩力的凯基尔练习对此不无裨益
66555,66555,烦恼-恋爱,男人会想自己心爱的女人想的心理很难受吗会想的差点发疯吗会的我男朋友曾告诉我他想我的时候那种感觉很难受
66557,66557,烦恼-校园生活,我们老师是不是你处事的态度你做人的方法与老师格格不入老师就会盯上你我认识的一个学生他的智商高思维活跃成绩特好但为人处事高调说话一针见血有时搞得老师下不了台虽然他学习很捧但老师不喜欢他特别是班主任针对得特别利害连他打个喷涕也说成是故意播放细菌其它的就骂得更利害了搞得他都不想上学了幸亏碰上了一位懂得欣赏他的才能的老师才使他有了积极的人生观你的情况要不你就等伯乐不过很难要不就改变自己去适应老师
66590,66590,烦恼-恋爱,男友的前女友又回来找他怎么办啊我和男友一直很好也知道他以前有这个问题我也遇到了不过我和你不同的是他根本没有告诉我他以前有过不过他把关于前女友所有的都删了而他前女友却来找他也来找我在空间上可他还是说不知道是谁最后我就单独和前女友联系了她和我说了好多他的不好还和我要他的电话当时她是在空间找到的我没有给她我说我相信她希望你不要来打扰我们了如果他以前有对不起你的地方我在这个和你说对不起了也祝你幸福后来她又在我老公的上留言说你为什么告诉你现在的女朋友没有过啊她还问我该不该和你在一起呢你知道我是怎么回答的吗其实我根本没有这么说我知道因为她还想让他回到她身边于是我就和我老公说了我说我什么都知道了没关系的那些都过去了我知道你现在爱的是我他很感谢我的理解其实我也不想提就当没发生过我觉得在这个时候你要让他感觉到你对他的信任即使你心里有再多的委屈和难过还是猜疑通通都要甩掉你可以问他现在喜欢的是谁说是你你可以说让你们来共同面对这个问题一起共同解决如果他说让他来自己解决你就说我相信你也告诉他不要但是在这期间你也一定要察言观色但不要经常去过问等过一段时间再问他如果你能和他前女友直接交谈是最好的这样你就可以表明你的立场她如果知道他对你说爱你他自己也会走的不过都得分情况要看你男友到底是个什么态度爱你还是心里还有前女友或者他有别的想法不管怎样你都不能急多观察一阵子除了工作时间都和他在一起总之自己不能乱了套希望你们度过危机
66671,66671,烦恼-恋爱,分问两个很重要的问题怎么才能看出来女生对你是不是真心看上你的怎么办如何看的出来女生是不是真心对你呢好办凉拌呗这是最好的办法这个就要花费点时间了谈感情嘛每个人遇到的情况都不一样但有一点是相通的如果她是看上了你的钱你可以在你们的交往过程中考验她正所谓日久见人心嘛她真的是为钱会露出破绽的只要你够细心舍得坚持考验她例如我不会靠家里的人我要自己闯当然要拿出点实际行动花钱表现出很拮据的模样动动脑筋吧不要让她吃定你什么都跟她交代如果她特了解你这招就不灵了如果她城府很深的话确实要想个好办法要足够自信你想的是挺长远的但是一般两个人是真心相爱不会出现这样那样的问题感情是双向的彼此心贴心即使有问题可以共同商讨共同努力不会让双方为难的结婚也是一样的也许你们现在还在磨合期会有些小问题这不算什么感情深厚之后就不会有这许多队顾虑了好好读书学业是第一位的感情需要慢慢沉淀慢慢积累好好努力
66677,66677,烦恼-恋爱,郁闷不知道怎么的就是放不开的去爱她不只怎么的在心里就是有毕竟是两个陌生人走到一起彼此的习性背景不是一两天可以适应的
66689,66689,烦恼-夫妻,在网络上打发时间工作的忙碌使得夫妻很少有时间交流以致造成了那就计划一下时间将在网络上的时间分一点出来用于家庭的交流与沟通网络是好但那毕竟是虚的而夫妻之间的一切才是最现实的试想当你有个头痛脑热时在你身边照顾你的毕竟是你的爱人而网上的朋友即使有心也无这个力啊你说对吧所以还是分清主次好好的维护家庭吧那才是你的根本
66700,66700,烦恼-两性问题,腰细胯大的女人男人会喜欢吗本人腰细臀部大对自己的身材超不自信我是喜欢感觉那样的性感
66707,66707,烦恼-夫妻,我现在怀孕五个月了该起诉离婚还是协议离婚还是该先做引产再离婚我你首先要确定是不是准备要这个孩子如果不想要建议你先做掉如果想要就协议离婚因为怀孕其间男方不可以提出离婚你还可以在网上搜以下婚姻法是怎样规定的里面很详细
66724,66724,烦恼-恋爱,哪里有免费的在线电影看我看电影都是电驴上去下的我觉得太麻烦这几个就够你看的了速度快片子多如果还不够再妹我我把全部网址都发给你
66777,66777,烦恼-恋爱,男人的婚戒应戴在哪只手上婚戒左手无名指上
66780,66780,烦恼-恋爱,男人会怎么反应和男友接吻过他也隔着衣服摸过如果要是在一段时他会很纳闷如果不直接问你就会猜测可你为什么会这样呢不准备和他在一起了吗如果不是我想你这一举动坚持不太多久的因为我也曾有过你这样的想法不过很快就心软了除非是要和他分手了祝你开心
66788,66788,烦恼-夫妻,我是第三者我该怎么办我以前是在认识的他他主动追求为了另外一个女人考虑考虑你现在离开还来的急时间可以冲淡一切的如果他选择了你说明他是一个不负责人的人因为他抛弃了自己的孩子和家庭如果他选择了自己原有的家庭那你的结局就是离开与其这样不如自己下决心离开不要再犹豫了等过段时间你会发现没有他你一样能过的很好而且会比现在好的多
66792,66792,烦恼-两性问题,男性可邦抗衰老片有什么用它是种药物其实这些问题还是要保持一个好的心情是最好的良药吃它就是给自己心理产生作用能很好的对你产生很好的心里作用所一吃不吃差不多但是保持年轻的心态是最好的良药祝你永远年轻
66796,66796,烦恼-恋爱,恋爱中的女人是不是都特别粘人的呢当越爱对方就越想跟对方天天在一作为一个女人我是这样认为的不管是有多爱对方也好也一定要有自己的空间一定要有自己的朋友在你开心不开心不一定要和男友分享有些话不一定要跟男朋友说曾经有一个人说过要有内容的女人男人才会去认真的审视要有密秘的女人男人才会有更多的好奇心有内容的女人有密秘的女人可以让男人更爱更在意当然我说的密秘不一定是什么见不得人的事啦男人以工作为第一女人则是感情第一没有办法因为男人是要靠征服世界来征服女人的而女人则是征服了男人就征服了世界男人比女人的使命更重因此需要更多时间去工作所以在他工作的时候希望被人打搅即使面对自己心爱的女人的时候也是如此我建议你第一将你的时间分一部分在工作上让自己的工作更出色第二每周找你的朋友去书店看看或是去逛逛街第三每周找你的朋友来家里做客一下或是你去朋友家串串门第四去房练练瑜伽修身养性他在家的时候你一定更是想粘在他身上或要抱抱或要亲亲有时候男人在外工作一天累了或遇挫折了那么他需要的不是抱抱或是亲亲你要懂得察言观色在这个时候你可以独自看看书看看报纸看看电视每个人都需要自己的空间手心里的沙如果抓得紧紧的反而更容易流失所以你要知道对男人要松紧自由早晨的女人
66831,66831,烦恼-恋爱,我的等待会有结果吗后续风铃的故事前续部分我是峰她是玲铃好单纯的女孩纯得像张透明的白纸让人不忍心撒落一滴尘埃因为她是这样的女孩所以也许你们注定会经历这些痛苦的磨练因为那个人占有她的第一次很多的女孩处女节很重的认为她已是他的人了只要那人对她好就行了她那时是肯定没衡量清楚也许不可能衡量清楚你和那个人究竟哪个更重要所以她离开你并不能就说明她不是真的爱你现在一个月后你还是依然爱她的她也许还爱你但她现在爱得有多坚定你不知道那就问问她吧问她那男孩对她好不好如果是那个人对她不好那说明她不是很爱你那是那在经过一段时间后才发现原来对她最好的还是你如果是这样说明她不是真的爱你她想继续只是因为你对他较好但若是这样你更应该让她回到你的身边而且要给她一份完整的爱因为你爱她爱本身就是付出不是吗如果那个人对她很好而她还天天想着你忘不掉你们过去美好的回忆那说明她是真的还爱着你这爱也许来得较晚质却没变也可以继续
66833,66833,烦恼-恋爱,怎么克服男孩子的胆怯为什么我不敢在自己喜欢的女孩子面前说出我喜欢其实你恐惧的主要原因是怕被拒绝你要想好即使是被拒绝你又能够缺少什么就是面子过不去是吧那么什么是面子它的价值是多少这个面子不是什么民族尊严家族荣誉个人地位只不过是被拒绝而已其实你的一生还不知道曾经或将要被拒绝多少次呢当然这其中爱情占的比重可能是万分之一不管占的比重有多大要是对方也喜欢你就在等你的表白但是没有等到结果失去了这本来是属于你的爱情你难道不会后悔一生吗站起来象个男人去做男人应该承担的事情吧要记住你是个男人
66844,66844,烦恼-恋爱,突然发现男友的前女友现在仍深爱着他该怎么办男友和前女友不是因我想站在男孩的立场上说点东西先研究一下为什么会分手是因为家里不同意家里不同意就分手了说明男孩对那个女孩不执著真正的爱着一个女孩的时候男孩会跟家里说清楚我为什么会喜欢这个女孩她哪里吸引我我已经决心跟她一辈子以后有如何如何的打算父母一定清楚男孩在想什么如果男孩决定了的话父母再怎么反对也没有用啊再说看到儿子是如此的执著父母也不会太反对吧所以说你男朋友和前女友的感情不稳定不成熟再说一下你男朋友的前女朋友的情况你确信她在线还是看了她离线的个人信息她还上网吗也许会伤心得把所有跟他有关的东西全扔掉吧包括这个你怎么就这么确信她还深爱着你的男朋友呢就算是那也许只是她的一厢情愿吧告诉你一个做女人的真理当两个女人在抢一个男人的时候傻瓜会盘算着如何解决那个女人而聪明的女人会盘算着如何解决那个男人再说一下你男朋友的情况他很信任你以至于你可以知道他的密码而且他不隐藏什么如果他心里有鬼就不会把密码告诉你就算没办法不告诉你密码的话也会把他的前任女朋友从里删除让你找不到吧联系方式有很多干嘛用而且你男朋友也上网吧他也一定知道他前女朋友的个人信息里写的是什么他未跟你提起过说明他不想再在这个问题有瓜葛也许他不成熟但他一定知道什么是可能什么是不可能如果他还优柔寡断那他不就适合当一个男朋友因为他还没做好当男朋友的心理准备考察一下他再来谈谈的你情况女孩子本来就是敏感的易悲观的善于联想的你由她的个人信息联想到她深爱着他又联想到他也深爱着她又联想到你不可能是他的最爱是这样吧理智的审视一下你的联想过程哪个过程不是漏洞百出她真的深爱着他吗他还爱着她吗她爱你多还是爱她多哪个环节都值得推敲哪个环节都有问题有问题就不成立看你悲观得想到哪去了或许你对自己不自信吧是你哪点比不上他的前任女朋友吗还是你天生的自卑有男朋友的女孩是幸福的我知道最后给点建议感情是两个人的事需要两个人还谈心解决不是一个人苦思就能解决的我可以肯定的告诉你你悲观敏感的个人想法在事实面前是弱不禁风的最起码绝大多数是不成立的找个机会好好跟他谈谈不要谈你想好的腹稿也就是说你不要事先打好算盘如果他说那他肯定是这样的想法男孩的想法跟女孩不一样你不要把你的思考方式放在男孩身上事实绝对不是那样跟他敞开心扉的聊聊你一定会有收获的还有最后一点建议男孩不反对给女孩他的密码但他一定会因为你翻看他而不满因为你这样做会被他认为是不信任他请做聪明的女孩信任他依赖他祝福你们
66855,66855,烦恼-两性问题,这种反应是不是表示怀孕了呢我在房事后的第二天觉得特别恶心什么单凭你那点反应还不能肯定要知道自己是否已怀孕可用早孕试纸测试一下早孕试纸的原理是当成熟女性怀孕后在胚胎发育成长为胎儿的过程中胎盘合体滋养层细胞产生大量的绒毛膜促性腺激素这些激素会通过孕妇的血液循环而排泄到尿中因此检测育龄妇女受孕后尿中的可以判断是否怀孕快速准确检测时间月经过期当天即可检测或在同房后天进行检测检测方法收集尿液第一次晨尿为佳插入试纸条分钟内观察结果方便快捷准确检测结果的判断阳性试纸条上端和下端均有色带出现表示怀孕阴性只在试纸条上端出现一条紫红色带而下端无色带出现表示未怀孕
66874,66874,烦恼-两性问题,很多男人嫌我长得不好看为什么还是要有不少男人调戏我说我长得性你自己认为你长的好看吗只要不是长的很丑男人都想占点小便宜
66876,66876,烦恼-家庭关系,十六岁的女儿开始谈恋爱啦和父母也变的对立起来因为担心她会失身我上高中时也谈爱恋并且觉得没什么所谓大人的管教都是多余的你越让我做什么我就偏不这么做非和家长对着干也不说有的孩子都这样回头看看仿佛就是昨天发生的事我刚出头我很后悔因为自己长大了不再幼稚了我有时就想为什么我不听父母和老师的话呢他们当时怎么和我说我才能认识到自己做错了呢我将来有了孩子我该怎么管教她呢老人有句话说不撞南墙心不死我觉得这句话用在正值的孩子们身上最为贴切我当时就是任凭家长你怎么说我都照样做我的事任凭你家长说了多少至理名言都没用家长永远都不希望自己做过的错事也会在自己的下一代身上发生但往往只说这样或那样做的后果是不好会影响你未来的前途但具体怎么不好家长也不说我就不知道了家长是不好意思说呢还是想在孩子心理做个永远没有缺点永远完美永远让孩子尊敬的家长家长们真地认为在孩子面前永远不暴露自己的缺点永远不说出自己以前犯过的错你在孩子心中就是神圣的为了面子而不对孩子敞开心扉这样孩子也不会对家长敞开心扉看电视上常说要和孩子多交流多沟通请不要理解错了交流沟通不是要家长去掏孩子的话去偷窥他们的生活一味的从孩子身上所去大量的讯息而是要交换交换经历再就是家长一定要为孩子制订未来的计划要让她知道上大学工作将来成为有钱人都是可能的要让他们了解步骤多搜集讯息灌输给孩子这样孩子心里好有底不至于对未来感到迷茫生活和学习才有目标还要对你孩子现在所犯的错分析讲解要他们明白后果的严重性最好有真实的证据比如楼主的问题就让让她的孩子知道女孩子在这方面是弱势的一旦出现了性的问题是非常的不利的少女往往不明白自己的生理周期如果发生了性行为说不上会有小孩有好多这类的报道有了小孩的危害性相信家长比我清楚的多我不用多说了说了这么多就是以一个过来人的身份说家长放下面子吧和你的孩子做朋友
66931,66931,烦恼-家庭关系,送妈妈礼物实用的送妈妈什么礼物好啊妈妈多岁想送个实用点送妈妈的好多选择啊首先买个蛋糕给妈妈个惊喜然后送套护肤品啊没哪个女人会拒绝美丽如果你对妈妈的尺寸和风格把握的住衣服也可以感觉外衣比较难选择的话送套睡衣睡裙会显得很贴心呢另外妈妈比较时尚的话送个包也可以
66936,66936,烦恼-夫妻,老公每次都跟我冷战真是受不了每次因为发生一些事老公不高兴了他不能太迁就了这样他会越来越猖狂的好好谈一次
66952,66952,烦恼-恋爱,大学生网恋如何发展到现实我和女朋友是网恋她有点小任性我也是想爱情不容易因此一定要珍惜好好对女孩既然距离的问题都解决了你们又有深厚的感情基础那么如何谈恋爱还需要人教吗女孩是需要关心的同时你还要摸清她的性格想想她是喜欢什么样的人你就朝着方面努力不知道你们的关系明不明确如果没有过表白就选一个成熟的时机把爱说出来相信你们会幸福的
66969,66969,烦恼-夫妻,结婚登记吉日男年月日阳历女年月先回答楼主一个问题年春节前都属于牛年都说年事寡年你听谁说的不要道听途说其实我觉得只要自己看中喜欢的人了胜过一切占卜算命风水又何必让占卜来决定你的姻缘呢人家说冬至是鬼投胎我就是鬼投胎那天生的这有什么关系我觉得我比那些算日子出来的人活得洒脱得多日子只是一个象征意义并不能代表什么关键是以后自己过好日子才是对对方最大的报答对父母最大的感恩楼主假如觉得听了我这一席话还是犹如梦中游的话当我没说过吧建议楼主可以去问题分类演艺艺术娱乐运气与星座命理这个分类里去问问也许可以得到你满意的答案
66974,66974,烦恼-交友技巧,女孩的礼物她先是问我喜欢什么颜色然后要我在小熊手帕围巾中选不管她什么意思你要是对她也有意那就抓住机会吧如果没有那种意思小心别搞僵了朋友都做不成
66997,66997,烦恼-交友技巧,请问大家现在送升职礼物选什么好我们公司调动我的小主管当经理了你可以送一些刺绣的东西阿现在挺流行刺绣的礼品看着还有档次价钱还便宜之前我们领导过生日我是送了一副刺绣他特别的喜欢我是在天瀛仕买的你要是喜欢的话你也可以去看看
67002,67002,烦恼-夫妻,是老公更重要还是父母更重要老公私下说我父母的坏话还说我的父母你没有听说过夫妻本是同林鸟大难来临各自飞父母才是一生中最重要的人父母是人一生中只有的一个呀
